SanJuanBautista: Paradero1
Bolognesi: Banco_De_La_Nacion
Banco_De_La_Nacion: Reniec
Reniec: Puno
Puno: España
España: Correo
Correo: Mega_80
Mega_80: Politécnico
Politécnico: La_Merced
La_Merced: La_Cincuenta
La_Cincuenta: Tupac_Amaru_X_Izaguirre
Tupac_Amaru_X_Izaguirre: Hiraoka
Hiraoka: Izaguirre_/_Industrial
Izaguirre_/_Industrial: Metro
Metro: Mega_Plaza
Mega_Plaza: Senati
Senati: Pilas
Pilas: Estadio
Estadio: Llantas
Llantas: Mercado_Conzac
Mercado_Conzac: Santa_Rosa
Santa_Rosa: Cruce
Cruce: Angélica_Gamarra_X_Universitaria
Angélica_Gamarra_X_Universitaria: Antares
Antares: Próceres
Próceres: Metro_A._Gamarra
Metro_A._Gamarra: Farmacia
Farmacia: Dominicos
Dominicos: Pacasmayo
Pacasmayo: Bertello
Bertello: Hospital_Chalaco
Hospital_Chalaco: Grifo_Aeropuerto
Grifo_Aeropuerto: Aduanas
Aduanas: Lima_Cargo
Lima_Cargo: Naval
Naval: Monark
Monark: Quilca
Quilca: Primero_De_Mayo
Primero_De_Mayo: Entrada
Entrada: Argentina
Argentina: Makro
Makro: Colonial
Colonial: San_José
San_José: Venezuela
Venezuela: Pio_XII
Pio_XII: Los_Andes
Los_Andes: Chachani
Chachani: Contisuyo
Contisuyo: La_Marina
2_De_Mayo_X_Saenz_Peña: Bomberos
Bomberos: Correo
Correo: Nicolás_De_Piérola
Nicolás_De_Piérola: Manuel_Raygada
Manuel_Raygada: Plaza_Garibaldi
Plaza_Garibaldi: Grifo
Grifo: Plaza_Fanning
Plaza_Fanning: Ciudadela
Ciudadela: Colegio
Colegio: Óvalo_Centenario
Óvalo_Centenario: Minka
Minka: El_Sol
El_Sol: Toyota
Toyota: Faucett
Faucett: Chávez
Chávez: Universitaria
Universitaria: Dueñas
Dueñas: Malvinas
Malvinas: Plaza_Ramón_Castilla
Avenida_Bertello: Canta_Callao
Canta_Callao: Sodimac
Sodimac: Avenida_Japon
Avenida_Japon: Colectora
Colectora: Santa_Rosa
Santa_Rosa: Avenida_Pacasmayo
Avenida_Pacasmayo: Calle_Dallas
Calle_Dallas: Calle_8
Calle_8: Bocanegra
Bocanegra: Ingunza
Ingunza: Tomás_Valle
Tomás_Valle: Pasaje
Pasaje: Tamayo
Tamayo: Quilca
Quilca: Grifo
Grifo: Colegio
Colegio: Primero_De_Mayo
Primero_De_Mayo: Entrada
Entrada: Politécnico_Nacional
Politécnico_Nacional: Avenida_La_Chalaca
Avenida_La_Chalaca: Jirón_Ramón_Castilla
Jirón_Ramón_Castilla: Chalaca_X_Aeropuerto
Chalaca_X_Aeropuerto: Jirón_Ayacucho
Jirón_Ayacucho: Andahuaylas
Andahuaylas: Apurimac
Apurimac: Circunvalación
Circunvalación: Callao
Callao: Centenario
Centenario: Santa_Rosa
Santa_Rosa: Chota
Chota: Gambetta
Gambetta: Atalaya
Atalaya: Supe
Supe: Concejo_-_Fiscalía_Del_Callao
Concejo_-_Fiscalía_Del_Callao: Chachapoyas
Chachapoyas: Talara
Talara: Guardia_Chalaca
Guardia_Chalaca: Plaza_Vea
Plaza_Vea: Pacífico
Pacífico: Vigil
Vigil: Villar
Villar: Cochrane
Cochrane: Colón_/2_De_Mayo
Colón_/2_De_Mayo: Colón_/Paz_Soldán
Colón_/Paz_Soldán: Paz_Soldán
Paz_Soldán: Mintra_Callao
Mintra_Callao: Parque_Policia
Parque_Policia: Chucuito
Chucuito: Roca
Roca: Zela
Zela: Imarpe
Zela: Roca
Roca: Chucuito
Chucuito: Parque_Policia
Parque_Policia: Plaza_Grau
Plaza_Grau: Saenz_Peña
Saenz_Peña: Municipalidad_Del_Callao
Municipalidad_Del_Callao: Guisse
Guisse: Villar
Villar: Innova_School
Innova_School: Talara
Talara: Chachapoyas
Chachapoyas: Santa_Fe
Santa_Fe: Palacios
Palacios: Central
Central: Chota
Chota: San_Martín
San_Martín: Alameda
Alameda: Castilla
Castilla: Santa_Rosa
Santa_Rosa: Callao
Callao: Circunvalación
Circunvalación: Mariategui
Mariategui: Pasaje_Sol
Pasaje_Sol: Aeropuerto
Aeropuerto: Politécnico
Politécnico: Virgen_Carmen_De_La_Legua
Virgen_Carmen_De_La_Legua: Setaca
Setaca: Quilca
Quilca: Monark
Monark: Lima_Cargo
Lima_Cargo: Aduanas
Aduanas: Bertello
Bertello: Pacasmayo
Pacasmayo: Seguro
Seguro: Pozos
Pozos: Colegio
Colegio: Bocanegra
Bocanegra: Calle_8
Calle_8: Calle_20
Calle_20: Calle_5
Calle_5: Colectora
Colectora: Avenida_Japon
Avenida_Japon: Tottus_Canta_Callao
Tottus_Canta_Callao: Avenida_Bertello
Pacasmayo: Alisos
Alisos: San_Martín_De_Porres
San_Martín_De_Porres: Pacasmayo_Y_Izguerre
Pacasmayo_Y_Izguerre: Izaguirre
Izaguirre: Canta_Callao
Canta_Callao: Puente_Camote
Puente_Camote: 12_De_Octubre
12_De_Octubre: San_Francisco
San_Francisco: Universitaria
Universitaria: Estibina
Estibina: Conococha
Conococha: Antunez_De_Mayolo
Antunez_De_Mayolo: Santos_Chocano
Santos_Chocano: Panamericana
Panamericana: Mega_Plaza
Mega_Plaza: Senati
Senati: Pilas
Pilas: Plaza_Norte
Plaza_Norte: Fiori
Fiori: Correo
Correo: San_Germán
San_Germán: Sauces
Sauces: Condominios
Condominios: Jarana
Jarana: Antares
Antares: Onpe
Onpe: Próceres
Próceres: Metro
Metro: Farmacia
Farmacia: Dominicos
Dominicos: Bertello
Bertello: Hospital_Chalaco
Hospital_Chalaco: Grifo_Aeropuerto
Grifo_Aeropuerto: Aduanas
Aduanas: Lima_Cargo
Lima_Cargo: Naval
Naval: Monark
Monark: Quilca
Quilca: Primero_De_Mayo
Primero_De_Mayo: Entrada
Entrada: Argentina
Argentina: Makro
Makro: Venezuela
Venezuela: Pio_XII
Pio_XII: Los_Andes
Los_Andes: Chachani
Chachani: Pumacurco
Pumacurco: Chinchaysuyo
Chinchaysuyo: Escardo_/Precursores
Escardo_/Precursores: Hoyle
Hoyle: Intisuyo
Intisuyo: Escardo
Escardo: Hiraoka
Hiraoka: Padre_Urraca
Padre_Urraca: Parque_De_Las_Leyendas
Parque_De_Las_Leyendas: Dintilhac
Dintilhac: Ayacucho
Ayacucho: Cuzco
Cuzco: Santa_Ana
Santa_Ana: Lima
Lima: Ramón_Castilla
Ramón_Castilla: Bolognesi
Bolognesi: Avenida_Lima
Avenida_Lima: Mercado_Magdalena
Mercado_Magdalena: Tacna
Tacna: Sucre
Sucre: Jirón_Bolognesi
Jirón_Bolognesi: Venus
Venus: La_Virgen
La_Virgen: Saenz_Peña
Saenz_Peña: Raymondi
Raymondi: Puericult
Terminal_Las_Flores_57: Nazca
Nazca: Naciones_Unidas
Naciones_Unidas: Cusco
Cusco: El_Sol
El_Sol: Unnamed_Road
Unnamed_Road: Huayna_Capac
Huayna_Capac: Los_Incas
Los_Incas: Inca_Wiracocha
Inca_Wiracocha: Lloque_Yupanqui
Lloque_Yupanqui: Pachacutec
Pachacutec: Sinchi_Roca
Sinchi_Roca: Avenida_Próceres_De_La_Independencia
Avenida_Próceres_De_La_Independencia: Portón
Portón: La_Capilla
La_Capilla: Mar_Del_Coral
Mar_Del_Coral: Montenegro
Montenegro: Avenida_Fernando_Wiesse
Avenida_Fernando_Wiesse: Mar_Sur
Mar_Sur: Motupe
Motupe: Santa_María
Santa_María: 8_De_Mariscal
8_De_Mariscal: Mariátegui
Mariátegui: Cruce
Cruce: La_Cinco
La_Cinco: La_Cuatro
La_Cuatro: Plaza_Vea
Plaza_Vea: Avenida_José_Carlos_Mariategui
Avenida_José_Carlos_Mariategui: 3519
3519: Lubricantes
Lubricantes: Héroes_Del_Cenepa
Héroes_Del_Cenepa: Avenida_José_Carlos_Mariategui
Avenida_José_Carlos_Mariategui: 5
5: Catorce_-_Jose_Carlos_Mariátegui
Catorce_-_Jose_Carlos_Mariátegui: Avenida_José_Carlos_Mariategui_2645
Avenida_José_Carlos_Mariategui_2645: Canto_Grande
Canto_Grande: Paradero_16_Canto_Grande
Paradero_16_Canto_Grande: Paradero_15_Canto_Grande
Paradero_15_Canto_Grande: Paradero_14_Canto_Grande
Paradero_14_Canto_Grande: Paradero_13_Canto_Grande
Paradero_13_Canto_Grande: Paradero_12_Canto_Grande
Paradero_12_Canto_Grande: Paradero_11_Canto_Grande
Paradero_11_Canto_Grande: Paradero_10_Canto_Grande
Paradero_10_Canto_Grande: Paradero_9_Canto_Grande
Paradero_9_Canto_Grande: Paradero_8_Canto_Grande
Paradero_8_Canto_Grande: Paradero_7_Canto_Grande
Paradero_7_Canto_Grande: Paradero_6_Canto_Grande
Paradero_6_Canto_Grande: Paradero_5_Canto_Grande
Paradero_5_Canto_Grande: Paradero_4_Canto_Grande
Paradero_4_Canto_Grande: Paradero_3_Canto_Grande
Paradero_3_Canto_Grande: Paradero_2_Canto_Grande
Paradero_2_Canto_Grande: Paradero_1_Canto_Grande
Paradero_1_Canto_Grande: Paradero_22_Las_Flores
Paradero_22_Las_Flores: Paradero_21_Las_Flores
Paradero_21_Las_Flores: Paradero_20_Las_Flores
Paradero_20_Las_Flores: Paradero_19_Las_Flores
Paradero_19_Las_Flores: Paradero_18_Las_Flores
Paradero_18_Las_Flores: Paradero_17_Las_Flores
Paradero_17_Las_Flores: Paradero_16_Las_Flores
Paradero_16_Las_Flores: Paradero_15_Las_Flores
Huertos_De_Naranjal: Canta_Callao
Canta_Callao: Avenida_A
Avenida_A: Avenida_Proceres_De_Huandoy
Avenida_Proceres_De_Huandoy: 11
11: Marañón
Marañón: Complejo_Deportivo
Complejo_Deportivo: Piscobamba
Piscobamba: Santo_Domingo
Santo_Domingo: Los_Olivos
Los_Olivos: Monitor
Monitor: Santa_Rosa
Santa_Rosa: Izaguirre
Izaguirre: Dominicos
Dominicos: Pacasmayo
Pacasmayo: Avenida_Pacasmayo
Avenida_Pacasmayo: Calle_4
Calle_4: Colectora
Colectora: Calle_Dallas
Calle_Dallas: Calle_8
Calle_8: Bocanegra
Bocanegra: Colegio
Colegio: Ingunza
Ingunza: Pozos
Pozos: Tomas_Valle
Tomas_Valle: Seguro
Seguro: Pasaje
Pasaje: Parroquia
Parroquia: Ovalo_Previ
Ovalo_Previ: Salaverry
Salaverry: Próceres
Próceres: Cajamarca
Cajamarca: Libertad
Libertad: San_Martín
San_Martín: Ancash
Ancash: Lima
Lima: Pasco
Pasco: Perú
Perú: Mercado
Mercado: Camaná
Camaná: Universitaria
Universitaria: Panadería
Panadería: Materiales
Materiales: Argentina
Argentina: Colonial
Colonial: Unidad_Vecinal
Unidad_Vecinal: Entrada
Entrada: Venezuela
Venezuela: Palomino
Palomino: Elio
Elio: Canziani
Canziani: Tingo_María
Tingo_María: Pilcomayo
Pilcomayo: Napo
Napo: Caraveli
Caraveli: Municipalidad
Municipalidad: Centro_Comercial
Centro_Comercial: Brasil
Brasil: Arnaldo_Márquez
Arnaldo_Márquez: José_María_Plaza
José_María_Plaza: Huiracocha
Huiracocha: Pachacútec
Pachacútec: Zela
Zela: Arenales
Arenales: Manuel_Del_Pino
Manuel_Del_Pino: León_Belarde
León_Belarde: Arequipa
Arequipa: Ignacio_Merino
Ignacio_Merino: Francisco_Lazo
Francisco_Lazo: Iquitos
Iquitos: Estación_Canadá
Estación_Canadá: Nicolás_Arriola
Nicolás_Arriola: Av._Canadá_Con_Av._Del_Aire
Av._Canadá_Con_Av._Del_Aire: Aviación
Aviación: San_Luis
San_Luis: Rosa_Toro
Rosa_Toro: Mariscal_Nieto
Mariscal_Nieto: De_Las_Torres
De_Las_Torres: Hera
Hera: Calle_Benjamín_Franklin
Calle_Benjamín_Franklin: Avenida_Nicolás_Ayllón
Avenida_Nicolás_Ayllón: Avenida_Los_Cipreses
Avenida_Los_Cipreses: Manuel_Celedonio
Manuel_Celedonio: Bolognesi
Bolognesi: Eucaliptos
Eucaliptos: Los_Ruiseñores
Los_Ruiseñores: Chancas
Chancas: Imperial
Imperial: Encalada
Encalada: Metropolitana
Metropolitana: Calle_50
Calle_50: Huarochirí
Huarochirí: Calle_30
Calle_30: La_Cultura
La_Cultura: La_Cultura_X_Virreyes
La_Cultura_X_Virreyes: Los_Virreyes
Los_Virreyes: Augusto_Salazar_Bondi
Augusto_Salazar_Bondi: Avenida_Ferrocarril
Avenida_Ferrocarril: El_Parque_De_Las_Aguas
El_Parque_De_Las_Aguas: Gardenias_-_Ate_Vitarte
Gardenias_-_Ate_Vitarte: El_Parque_De_Las_Aguas
El_Parque_De_Las_Aguas: Primero_De_Mayo
Primero_De_Mayo: Calle_Primero_De_Mayo
Calle_Primero_De_Mayo: Calle_Primero_De_Mayo
Calle_Primero_De_Mayo: Augusto_Salazar_Bondi
Augusto_Salazar_Bondi: Augusto_Salazar_Bondi
Augusto_Salazar_Bondi: Augusto_Salazar_Bondi
Augusto_Salazar_Bondi: Augusto_Salazar_Bondi
Augusto_Salazar_Bondi: La_Cultura
La_Cultura: Metropolitana
Metropolitana: Santa_Ana
Santa_Ana: Mercado_Productores
Mercado_Productores: Volvo
Volvo: Huarochirí
Huarochirí: Colectora_Industrial
Colectora_Industrial: Avenida_Las_Alondras
Avenida_Las_Alondras: Óvalo_Santa_Anita
Óvalo_Santa_Anita: Frutales
Frutales: Mall
Mall: Entrada
Entrada: Avenida_Nicolás_De_Ayllón
Avenida_Nicolás_De_Ayllón: Curie
Curie: Calle_Benjamín_Franklin
Calle_Benjamín_Franklin: Calle_Benjamín_Franklin
Calle_Benjamín_Franklin: Calle_Benjamín_Franklin
Calle_Benjamín_Franklin: Río_De_Janeiro
Río_De_Janeiro: Santa_Rosa
Santa_Rosa: Separadora_Industrial
Separadora_Industrial: Separadora_Industrial
Separadora_Industrial: Separadora_Industrial
Separadora_Industrial: Quechuas
Quechuas: Mariscal_Nieto
Mariscal_Nieto: Avenida_Mariscal_Nieto
Avenida_Mariscal_Nieto: Circunvalación
Circunvalación: Avenida_Circunvalación
Avenida_Circunvalación: Canadá
Canadá: Avenida_Canadá
Avenida_Canadá: Rosa_Toro
Rosa_Toro: San_Luis
San_Luis: Avenida_Canadá
Avenida_Canadá: Aviación
Aviación: Avenida_Canadá
Avenida_Canadá: La_Curva
La_Curva: Avenida_Canadá
Avenida_Canadá: Avenida_Canadá
Avenida_Canadá: Parinacochas
Parinacochas: Estación_Canadá
Estación_Canadá: Iquitos
Iquitos: Francisco_Lazo
Francisco_Lazo: Merino
Merino: Arequipa
Arequipa: Arenales
Arenales: Conococha
Conococha: Domingo_Cueto
Domingo_Cueto: Seguro
Seguro: Salaverry
Salaverry: Mariátegui
Mariátegui: Colegio_Fanning
Colegio_Fanning: Huáscar
Huáscar: Huamachuco
Huamachuco: Márquez
Márquez: Brasil
Brasil: Bolívar
Bolívar: Río
Río: Británico
Británico: Sucre
Zela: Roca
Roca: Avenida_Agustin_Gamarra
Avenida_Agustin_Gamarra: Chucuito
Chucuito: Parque_Policia
Parque_Policia: Plaza_Grau
Plaza_Grau: Saenz_Peña
Saenz_Peña: Municipalidad_Del_Callao
Municipalidad_Del_Callao: Guisse
Guisse: Miguel_Grau_X_Saloom
Miguel_Grau_X_Saloom: Miguel_Grau_X_Cochrane
Miguel_Grau_X_Cochrane: Villar
Villar: Miguel_Grau_X_Vigil
Miguel_Grau_X_Vigil: Avenida_Miguel_Grau
Avenida_Miguel_Grau: República_De_Panamá
República_De_Panamá: Plaza_Vea
Plaza_Vea: Guardia_Chalaca
Guardia_Chalaca: Avenida_Mariscal_Oscar_Raimundo_Benavides
Avenida_Mariscal_Oscar_Raimundo_Benavides: Avenida_Oscar_R_Benavides
Avenida_Oscar_R_Benavides: Puerta_1_Estadio_Miguel_Grau_-_Callao
Puerta_1_Estadio_Miguel_Grau_-_Callao: Avenida_Oscar_R_Benavides
Avenida_Oscar_R_Benavides: Poder_Judicial_Del_Callao
Poder_Judicial_Del_Callao: Pacífico
Pacífico: Insurgentes
Insurgentes: Mall_Plaza_Aventura_Bellavista
Mall_Plaza_Aventura_Bellavista: Faucett
Faucett: Puente_De_Faucett_Con_Colonial_-_Sur_A_Norte
Puente_De_Faucett_Con_Colonial_-_Sur_A_Norte: Argentina
Argentina: Entrada
Entrada: Hospital_San_José
Hospital_San_José: Virgen_Carmen_De_La_Legua
Virgen_Carmen_De_La_Legua: Playa_Rimac
Playa_Rimac: Setaca
Setaca: Quilca
Quilca: Monark
Monark: Lima_Cargo
Lima_Cargo: Aduanas
Aduanas: Tomás_Valle
Tomás_Valle: Bertello
Bertello: Pacasmayo
Pacasmayo: Seguro
Seguro: Dominicos
Dominicos: Farmacia
Farmacia: Metro
Metro: Próceres
Próceres: Onpe
Onpe: Antares
Antares: Universitaria
Universitaria: Jarana
Jarana: Grifo
Grifo: Sauces
Sauces: San_Germán
San_Germán: Correo
Correo: Nissan
Nissan: Fiori
Fiori: Plaza_Norte
Plaza_Norte: Mercado_Central
Mercado_Central: Jiron_Julio_Felipe
Jiron_Julio_Felipe: Tupac_Amaru
Tupac_Amaru:
Los_Virreyes: José_Maria_Morelos
José_Maria_Morelos: Avenida_Ceres
Avenida_Ceres: Avenida_Ceres_Rd
Avenida_Ceres_Rd: Surge
Surge: Los_Virreyes
Los_Virreyes: Los_Virreyes
Los_Virreyes: La_Cultura
La_Cultura: El_Arbolito
El_Arbolito: Huarochirí
Huarochirí: Avenida_Los_Chancas
Avenida_Los_Chancas: Encalada
Encalada: Imperial
Imperial: Avenida_Los_Chancas
Avenida_Los_Chancas: Ruiseñores
Ruiseñores: Koricancha
Koricancha: Santiago_De_Chuco
Santiago_De_Chuco: Los_Alcanfores
Los_Alcanfores: Moore
Moore: Avenida_Los_Ruiseñores
Avenida_Los_Ruiseñores: Torcazas
Torcazas: Avenida_Los_Ruiseñores
Avenida_Los_Ruiseñores: Óvalo_Santa_Anita
Óvalo_Santa_Anita: Frutales
Frutales: Mall
Mall: Entrada
Entrada: Indumotora
Indumotora: Avenida_Nicolás_De_Ayllón
Avenida_Nicolás_De_Ayllón: Curie
Curie: Calle_Benjamín_Franklin
Calle_Benjamín_Franklin: Calle_Benjamín_Franklin
Calle_Benjamín_Franklin: Calle_Benjamín_Franklin
Calle_Benjamín_Franklin: Separadora_Industrial
Separadora_Industrial: Río_De_Janeiro
Río_De_Janeiro: Santa_Rosa
Santa_Rosa: Terpsicore
Terpsicore: Avenida_Los_Quechuas
Avenida_Los_Quechuas: Separadora_Industrial
Separadora_Industrial: Mariscal_Nieto
Mariscal_Nieto: Avenida_Mariscal_Nieto
Avenida_Mariscal_Nieto: Circunvalación
Circunvalación: Avenida_Circunvalación
Avenida_Circunvalación: Canadá
Canadá: Avenida_Canadá
Avenida_Canadá: Parinacochas
Parinacochas: Estación_Canadá
Estación_Canadá: Iquitos
Iquitos: Francisco_Lazo
Francisco_Lazo: Merino
Merino: Arequipa
Arequipa: Arenales
Arenales: Conococha
Conococha: Guisse
Guisse: Garcilaso_De_La_Vega
Garcilaso_De_La_Vega: Pezet_Y_Monel
Pezet_Y_Monel: Mama_Ocllo
Mama_Ocllo: Parque_De_Los_Bomberos
Parque_De_Los_Bomberos: Salaverry
Salaverry: San_Felipe
San_Felipe: Olavegoya
Olavegoya: Sánchez_Cerro_(Canal_2)
Sánchez_Cerro_(Canal_2): Huáscar
Huáscar: Huiracocha
Huiracocha: Garzón
Garzón: Vivanco_/Brasil
Vivanco_/Brasil: Skateplaza_Pl
Skateplaza_Pl: Vivanco_/Sucre
Vivanco_/Sucre: Sucre_X_La_Mar
Sucre_X_La_Mar: La_Mar_1192
Terminal_Minka: Valdelomar
Valdelomar: Comandante_Pérez_Salmón
Comandante_Pérez_Salmón: Juan_Pablo_II
Juan_Pablo_II: Poder_Judicial_Del_Callao
Poder_Judicial_Del_Callao: Avenida_Oscar_R._Benavides
Avenida_Oscar_R._Benavides: Pacífico
Pacífico: Insurgentes
Insurgentes: Mall_Plaza_Aventura_Bellavista
Mall_Plaza_Aventura_Bellavista: Faucett
Faucett: Boutique_Del_Pan
Boutique_Del_Pan: Universitaria
Universitaria: Unidad_Vecinal
Unidad_Vecinal: A_Garcia_Y_Garcia
A_Garcia_Y_Garcia: Colegio
Colegio: Entrada
Entrada: Venezuela
Venezuela: San_Marcos
San_Marcos: Santa_Teodosia
Santa_Teodosia: Católica
Católica: Lincoln
Lincoln: Cueva
Cueva: Clovis
Clovis: Córdova
Córdova: Sucre
Sucre: Británico
Británico: Río
Río: Brasil
Brasil: Garzón
Garzón: Márquez
Márquez: Horacio_Urteaga
Horacio_Urteaga: Mariátegui
Mariátegui: Huáscar
Huáscar: Canal_2
Canal_2: Pachacútec
Pachacútec: Salaverry
Salaverry: San_Felipe
San_Felipe: Parque_Novoa
Parque_Novoa: Sinchi_Roca
Sinchi_Roca: Pumacahua
Pumacahua: Cápac_Yupanqui
Cápac_Yupanqui: Francisco_De_Zela
Francisco_De_Zela: Mariscal_Miller
Mariscal_Miller: Arenales
Arenales: Arequipa
Arequipa: Ignacio_Merino
Ignacio_Merino: Francisco_Lazo
Francisco_Lazo: Iquitos
Iquitos: Estación_Canadá
Estación_Canadá: Avenida_Canadá
Avenida_Canadá: Avenida_Canadá
Avenida_Canadá: Avenida_Canadá
Avenida_Canadá: Nicolás_Arriola
Nicolás_Arriola: Avenida_Canadá
Avenida_Canadá: Av._Canadá_Con_Av._Del_Aire
Av._Canadá_Con_Av._Del_Aire: Aviación
Aviación: Avenida_Canadá
Avenida_Canadá: San_Luis
San_Luis: Rosa_Toro
Rosa_Toro: Avenida_Canadá
Avenida_Canadá: Avenida_Canadá
Avenida_Canadá: Mariscal_Nieto
Mariscal_Nieto: De_Las_Torres
De_Las_Torres: De_Las_Torres
De_Las_Torres: 2
2: Avenida_Los_Quechuas
Avenida_Los_Quechuas: Avenida_Los_Quechuas
Avenida_Los_Quechuas: Avenida_Los_Quechuas
Avenida_Los_Quechuas: Terpsícore
Terpsícore: Euterpe
Euterpe: Euterpe
Euterpe: Euterpe
Euterpe: Avenida_Separadora_Industrial
Avenida_Separadora_Industrial: Calle_Benjamín_Franklin
Calle_Benjamín_Franklin: Calle_Benjamín_Franklin
Calle_Benjamín_Franklin: Calle_Benjamín_Franklin
Calle_Benjamín_Franklin: Avenida_Nicolás_Ayllón
Avenida_Nicolás_Ayllón: Avenida_Nicolás_De_Ayllón
Avenida_Nicolás_De_Ayllón: Frutales
Frutales: Óvalo_Santa_Anita
Óvalo_Santa_Anita: Urubamba
Urubamba: Dorado
Dorado: Separadora_Industrial
Separadora_Industrial: Los_Constructores
Los_Constructores: Industriales
Industriales: Los_Forestales
Los_Forestales: Ingenieros
Ingenieros: Flora_Tristán
Flora_Tristán: Huarochirí
Huarochirí: Mayorazgo
Mayorazgo: Backus
Backus: Josfel
Josfel: Puruchuco
Puruchuco: Pista_Nueva
Pista_Nueva: Cesar_Vallejo
Cesar_Vallejo: Vista_Alegre
Vista_Alegre: Soldadura
Soldadura: Los_Ángeles
Los_Ángeles: Ceres
Ceres: Tagore_-_Ate_Vitarte
Tagore_-_Ate_Vitarte: Carretera_Central
Carretera_Central: Municipalidad_De_Vitarte
Municipalidad_De_Vitarte: Jirón_Libertad
Jirón_Libertad: Trabajo
Trabajo: Avenida_La_Esperanza
Avenida_La_Esperanza: Huanchihuaylas
Huanchihuaylas: Santa_Clara
